Date,Close,High,Low,Open,Volume
2025-10-21,9118.0,9165.0,9081.0,9159.5,27642
2025-10-23,9047.0,9157.0,9017.0,9136.0,249420
2025-10-24,9076.5,9099.0,9012.0,9070.0,332130
2025-10-27,9095.5,9115.0,9055.0,9099.5,310061
2025-10-28,9057.5,9130.0,9019.0,9100.0,459991
2025-10-29,9034.0,9090.0,8960.0,9090.0,226605
2025-10-30,8923.0,9065.0,8904.5,9034.0,250532
2025-10-31,8892.5,9051.0,8802.0,8939.5,261013
2025-11-03,8922.5,8957.5,8855.0,8900.0,206987
2025-11-04,8751.0,8920.0,8713.0,8920.0,517334
2025-11-06,8720.5,8820.5,8702.5,8755.0,326774
2025-11-07,8721.5,8749.5,8605.0,8720.0,290120
2025-11-10,8772.0,8838.0,8685.5,8795.0,992874
2025-11-11,8895.0,8945.0,8726.0,8819.0,380748
2025-11-12,8868.0,8935.0,8800.0,8935.0,439922
2025-11-13,8867.5,8895.5,8842.0,8888.0,276001
2025-11-14,8843.0,8867.5,8781.5,8867.5,550371
2025-11-17,8945.5,9025.0,8850.0,8850.0,457995
2025-11-18,8921.0,8999.0,8900.0,8975.5,276172
2025-11-19,8884.5,8975.0,8863.5,8950.0,326292
2025-11-20,8979.5,9005.0,8890.0,8924.0,189991
2025-11-21,8892.0,8957.5,8862.0,8950.0,320271
2025-11-24,9007.5,9049.0,8857.5,8905.0,466198
2025-11-25,9048.0,9145.0,9001.0,9025.0,482151
2025-11-26,9164.0,9180.0,9028.0,9054.0,354143
2025-11-27,9022.5,9254.5,8996.0,9194.0,602295
2025-11-28,9073.5,9106.0,8922.0,9031.0,432445
2025-12-01,9096.0,9189.5,9055.5,9129.0,449503
2025-12-02,9085.5,9142.0,8988.0,9100.0,319833
2025-12-03,9000.5,9105.0,8950.0,9085.5,412081
2025-12-04,9085.0,9095.0,8988.0,9005.0,275604
2025-12-05,9109.0,9130.0,9045.5,9054.0,279893
2025-12-08,9026.0,9124.5,8956.5,9115.0,299426
2025-12-09,8961.0,9034.5,8880.0,8990.0,373015
2025-12-10,8991.0,9001.5,8904.0,8961.0,307300
2025-12-11,9053.5,9084.0,8961.0,8991.0,136142
2025-12-12,9015.0,9089.5,8960.0,9065.0,356060
2025-12-15,8940.0,9042.5,8884.0,9040.0,507849
2025-12-16,9008.0,9028.0,8891.0,8940.0,278902
2025-12-17,8895.0,9009.0,8859.0,9008.0,256364
2025-12-18,8831.0,8891.0,8735.0,8891.0,338487
2025-12-19,9002.0,9011.0,8827.0,8830.5,215196
2025-12-22,9164.0,9185.0,8997.5,9010.0,377385
2025-12-23,9099.0,9184.0,9080.0,9184.0,215559
2025-12-24,9170.0,9194.5,9070.0,9100.0,167717
2025-12-26,9064.5,9185.5,9052.0,9182.5,105815
2025-12-29,9087.0,9127.0,9055.5,9069.5,263943
2025-12-30,9282.0,9299.0,9025.5,9087.0,464922
2025-12-31,9343.0,9398.0,9296.5,9320.0,319864
2026-01-01,9558.0,9585.0,9318.5,9365.0,306936
2026-01-02,9502.5,9633.0,9310.5,9550.0,733651
2026-01-05,9497.5,9684.0,9465.0,9520.0,304245
2026-01-06,9661.0,9783.5,9543.0,9575.0,503002
2026-01-07,9789.5,9807.0,9608.0,9668.0,334802
2026-01-08,9760.5,9888.0,9725.0,9799.5,534086
2026-01-09,9562.5,9830.0,9538.0,9760.5,250994
2026-01-12,9491.0,9588.5,9360.0,9562.5,332453
2026-01-13,9554.0,9576.5,9458.5,9506.0,229215
2026-01-14,9579.5,9610.0,9494.0,9576.0,335206
2026-01-15,9579.5,9579.5,9579.5,9579.5,0
2026-01-16,9489.0,9616.5,9389.5,9540.0,528450
2026-01-19,9429.5,9489.0,9393.5,9489.0,403445
2026-01-20,9180.0,9468.0,9155.0,9468.0,385253
2026-01-21,9179.0,9255.0,9072.0,9150.0,323092
2026-01-22,9370.0,9391.5,9185.5,9225.0,193757
2026-01-23,9413.5,9548.0,9335.0,9390.0,204212
2026-01-27,9492.0,9506.0,9330.0,9422.0,302065
2026-01-28,9433.5,9533.5,9250.0,9500.0,342407
2026-01-29,9512.0,9533.0,9381.5,9475.0,390096
2026-01-30,9597.5,9626.0,9382.5,9497.0,283660
2026-02-02,9496.5,9523.0,9250.5,9454.5,327240
2026-02-03,9595.5,9941.0,9515.0,9933.0,573385
2026-02-04,9639.0,9725.0,9529.5,9594.0,201083
2026-02-05,9647.0,9679.0,9600.0,9640.0,155663
2026-02-06,9518.5,9668.0,9471.5,9620.0,198790
2026-02-09,9590.0,9626.5,9505.0,9598.0,171033
2026-02-10,9774.0,9833.5,9582.5,9605.0,347018
2026-02-11,9869.5,9905.5,9796.0,9818.0,324008
2026-02-12,9840.0,9930.0,9809.5,9876.5,372062
2026-02-13,9760.0,9900.5,9720.0,9800.5,120688
