Date,Open,High,Low,Close,Volume
2021-02-23 00:00:00+05:30,1415.0,1436.949951171875,1400.1500244140625,1424.050048828125,1871135
2021-02-24 00:00:00+05:30,1424.050048828125,1474.0,1424.050048828125,1451.8499755859375,1143204
2021-02-25 00:00:00+05:30,1460.0,1462.949951171875,1430.5,1434.449951171875,1967386
2021-02-26 00:00:00+05:30,1420.0,1431.949951171875,1403.0999755859375,1406.9000244140625,2715597
2021-03-01 00:00:00+05:30,1421.5,1466.0,1416.5999755859375,1452.1500244140625,1962042
2021-03-02 00:00:00+05:30,1469.0,1474.0,1450.0,1471.1500244140625,1293306
2021-03-03 00:00:00+05:30,1472.0,1481.6500244140625,1466.1500244140625,1474.5999755859375,1227772
2021-03-04 00:00:00+05:30,1452.0,1487.6500244140625,1450.550048828125,1470.5,1822476
2021-03-05 00:00:00+05:30,1465.0,1493.0,1462.199951171875,1474.199951171875,1954113
2021-03-08 00:00:00+05:30,1475.0,1481.25,1451.0,1456.75,1060584
2021-03-09 00:00:00+05:30,1470.0,1478.9000244140625,1445.0,1456.9000244140625,941590
2021-03-10 00:00:00+05:30,1470.0,1481.0,1463.0,1471.25,1257628
2021-03-12 00:00:00+05:30,1480.0,1507.800048828125,1478.5,1482.5,2631081
2021-03-15 00:00:00+05:30,1496.9000244140625,1496.9000244140625,1471.0,1492.199951171875,1482287
2021-03-16 00:00:00+05:30,1505.0,1531.0,1496.9000244140625,1500.949951171875,3191850
2021-03-17 00:00:00+05:30,1494.25,1499.550048828125,1470.050048828125,1472.550048828125,1195023
2021-03-18 00:00:00+05:30,1485.5999755859375,1492.9000244140625,1463.0,1468.199951171875,1242978
2021-03-19 00:00:00+05:30,1450.0,1470.8499755859375,1432.050048828125,1465.449951171875,2360672
2021-03-22 00:00:00+05:30,1465.0,1468.6500244140625,1448.0,1460.300048828125,1331121
2021-03-23 00:00:00+05:30,1460.300048828125,1514.800048828125,1454.0,1495.3499755859375,2534795
2021-03-24 00:00:00+05:30,1486.0,1508.800048828125,1476.449951171875,1488.1500244140625,1871092
2021-03-25 00:00:00+05:30,1484.0999755859375,1498.5,1447.75,1450.8499755859375,1609996
2021-03-26 00:00:00+05:30,1459.9000244140625,1512.4000244140625,1457.0,1505.8499755859375,1922278
2021-03-30 00:00:00+05:30,1510.0,1563.0,1510.0,1552.199951171875,3466042
2021-03-31 00:00:00+05:30,1549.9000244140625,1567.4000244140625,1536.75,1558.050048828125,1431746
2021-04-01 00:00:00+05:30,1560.0,1593.300048828125,1551.550048828125,1559.3499755859375,1343989
2021-04-05 00:00:00+05:30,1541.0999755859375,1559.0,1500.0,1535.0,1376233
2021-04-06 00:00:00+05:30,1529.5,1548.0,1509.0,1525.5,1400544
2021-04-07 00:00:00+05:30,1522.0999755859375,1561.449951171875,1508.0,1514.0999755859375,2592185
2021-04-08 00:00:00+05:30,1529.25,1579.0,1525.5,1571.300048828125,2085919
2021-04-09 00:00:00+05:30,1569.9000244140625,1618.0,1561.300048828125,1592.0,3569146
2021-04-12 00:00:00+05:30,1571.0,1572.6500244140625,1502.25,1510.449951171875,1889829
2021-04-13 00:00:00+05:30,1528.5999755859375,1553.300048828125,1516.6500244140625,1530.5999755859375,1880575
2021-04-15 00:00:00+05:30,1545.0,1554.5,1515.550048828125,1538.550048828125,1313429
2021-04-16 00:00:00+05:30,1529.800048828125,1559.800048828125,1529.800048828125,1549.050048828125,1501276
2021-04-19 00:00:00+05:30,1525.0,1532.449951171875,1500.0999755859375,1518.699951171875,1439975
2021-04-20 00:00:00+05:30,1524.199951171875,1560.0,1510.0,1522.9000244140625,1789104
2021-04-22 00:00:00+05:30,1530.0,1530.0,1473.1500244140625,1480.8499755859375,2200432
2021-04-23 00:00:00+05:30,1478.0,1496.9000244140625,1451.5999755859375,1461.449951171875,1726070
2021-04-26 00:00:00+05:30,1470.0,1489.75,1465.1500244140625,1479.8499755859375,1020499
2021-04-27 00:00:00+05:30,1485.0,1503.550048828125,1482.0,1495.0999755859375,1145908
2021-04-28 00:00:00+05:30,1505.0,1514.9000244140625,1491.699951171875,1508.8499755859375,1037771
2021-04-29 00:00:00+05:30,1524.0,1527.5,1497.0,1506.800048828125,1927546
2021-04-30 00:00:00+05:30,1500.0,1516.550048828125,1471.0,1491.6500244140625,3691399
2021-05-03 00:00:00+05:30,1477.0,1477.0,1421.0,1423.949951171875,3945733
2021-05-04 00:00:00+05:30,1434.0,1434.0,1400.050048828125,1402.9000244140625,3194977
2021-05-05 00:00:00+05:30,1406.0,1431.9000244140625,1403.4000244140625,1428.4000244140625,1819256
2021-05-06 00:00:00+05:30,1435.800048828125,1448.449951171875,1431.0,1444.4000244140625,1464006
2021-05-07 00:00:00+05:30,1449.0,1459.25,1439.9000244140625,1446.5,1190019
2021-05-10 00:00:00+05:30,1454.4000244140625,1469.75,1445.0,1455.1500244140625,1322561
2021-05-11 00:00:00+05:30,1439.0999755859375,1457.949951171875,1432.0,1435.25,1582827
2021-05-12 00:00:00+05:30,1431.0,1460.0,1425.8499755859375,1454.949951171875,1358169
2021-05-14 00:00:00+05:30,1469.0,1477.800048828125,1433.0,1455.8499755859375,1876873
2021-05-17 00:00:00+05:30,1462.0,1470.800048828125,1438.0,1468.300048828125,2218758
2021-05-18 00:00:00+05:30,1480.0,1547.0999755859375,1476.25,1539.25,3075596
2021-05-19 00:00:00+05:30,1522.25,1553.9000244140625,1516.800048828125,1521.1500244140625,1504440
2021-05-20 00:00:00+05:30,1523.0,1566.25,1522.5,1531.3499755859375,3032029
2021-05-21 00:00:00+05:30,1552.199951171875,1552.8499755859375,1533.550048828125,1538.3499755859375,1158893
2021-05-24 00:00:00+05:30,1532.1500244140625,1535.0,1505.449951171875,1520.75,1126532
2021-05-25 00:00:00+05:30,1536.0,1574.9000244140625,1535.0,1569.1500244140625,2530758
2021-05-26 00:00:00+05:30,1580.0,1614.0,1576.6500244140625,1582.949951171875,3839248
2021-05-27 00:00:00+05:30,1590.699951171875,1606.949951171875,1567.3499755859375,1594.25,2810155
2021-05-28 00:00:00+05:30,1595.0,1612.25,1570.550048828125,1577.0,1028675
2021-05-31 00:00:00+05:30,1570.6500244140625,1608.25,1569.0,1596.25,1525715
2021-06-01 00:00:00+05:30,1608.0,1612.0,1589.300048828125,1591.4000244140625,1111933
2021-06-02 00:00:00+05:30,1581.0,1596.75,1564.199951171875,1585.699951171875,1859258
2021-06-03 00:00:00+05:30,1601.0,1702.300048828125,1588.550048828125,1691.199951171875,7221910
2021-06-04 00:00:00+05:30,1713.800048828125,1713.800048828125,1665.5,1679.5,2952017
