Date,Close,High,Low,Open,Volume
2021-03-08,86.5490951538086,89.54995061315047,85.78058087018597,87.06143428683852,63866178
2021-03-09,85.45121765136719,87.50058527620871,83.5848290793123,87.39079672772122,26817643
2021-03-10,83.73121643066406,85.63419748007237,83.14568122281031,85.56100697511005,23841269
2021-03-12,84.20695495605469,85.92695678489505,83.43844076798193,85.45121017247273,20691698
2021-03-15,83.69463348388672,85.52442435841017,82.56016649212934,84.90229657788791,19679802
2021-03-16,84.2435531616211,85.12185594850651,83.03589031970205,83.29206545592535,20680669
2021-03-17,80.03504180908203,84.06058123379567,79.5958931704743,84.02398877129048,31017863
2021-03-18,80.65715789794922,82.12099020523742,78.68098651674097,80.51077690085123,26710696
2021-03-19,80.87673950195312,82.8895090370696,76.4486442910659,77.76609567495493,50386785
2021-03-22,80.21800994873047,81.42567272848522,79.44950133185172,80.87673560896735,15825065
2021-03-23,78.42481231689453,80.73034918060908,78.02225622269412,80.21800455307431,15815643
2021-03-24,76.70482635498047,77.58312363418918,75.27758629616892,76.85120737348927,31083656
2021-03-25,74.65545654296875,78.82737688085649,74.14311740816773,77.58312150543811,37295495
2021-03-26,74.94821166992188,76.11927634299879,73.37459089793875,75.38736022431611,26637085
2021-03-30,75.75333404541016,77.80270183775777,75.09460828472143,76.15589022807494,31843017
2021-03-31,74.76525115966797,76.26567622417794,74.58227208467324,75.24099787146996,19587582
2021-04-01,76.37545013427734,77.03417579470546,74.03332065728533,75.38736443567375,22299747
2021-04-05,75.71672821044922,76.48524244955418,72.75247096835314,74.7652405064993,24878516
2021-04-06,76.08268737792969,76.41205302106692,74.14311389934622,75.13119966060293,15156974
2021-04-07,76.59501647949219,77.10735548574577,75.7167138606736,76.0460794367592,10330347
2021-04-08,75.82650756835938,77.36353027624352,75.6069360867055,75.97289414020538,26105970
2021-04-09,75.97290802001953,76.7780147679923,75.3873727938151,75.3873727938151,17645822
2021-04-12,71.7643814086914,74.8384270336557,71.32522724734469,73.81374329730856,27005598
2021-04-13,74.69205474853516,75.02141482388697,71.76438977979811,71.76438977979811,25505623
2021-04-15,76.92439270019531,78.13205556580309,75.9729049758358,76.30226503732995,28659714
2021-04-16,78.53460693359375,78.93715747489934,76.26566234918488,76.55842993272898,21627285
2021-04-19,75.42395782470703,77.54651008926626,74.5822531763076,76.08267786042443,19166492
2021-04-20,75.27758026123047,76.85120121239501,74.80183361310016,75.60694590258721,23082015
2021-04-22,75.46055603027344,76.44864174322105,74.3992798171218,74.94821694476794,14844968
2021-04-23,74.94821166992188,75.86310681827523,74.362676541345,74.65544410563344,12790334
2021-04-26,75.24098205566406,77.36353441217574,75.02140497819462,77.03417438004863,11797791
2021-04-27,75.53375244140625,76.11928765701435,75.24099041767987,75.24099041767987,8886250
2021-04-28,76.04608154296875,76.41203958159316,75.60693301343476,75.93629301456612,6887787
2021-04-29,76.1558837890625,77.50992765905669,75.78992568451933,76.77801144997036,14990087
2021-04-30,79.15673065185547,82.48694569608737,75.60693853478325,76.22906612906158,81358264
2021-05-03,78.82735443115234,81.02310252766439,77.58309941009264,79.15671999607486,33975507
2021-05-04,80.2546157836914,80.73036245028779,78.82737578390227,79.04695288666296,30811922
2021-05-05,81.31587982177734,83.4384376867648,80.87673126655712,82.26737301148523,47588366
2021-05-06,80.69375610351562,82.59673699004843,80.10822094577765,82.19418645517102,26083818
2021-05-07,81.57205963134766,82.23078533926662,80.25461379958726,81.13291102076086,28016564
2021-05-10,83.3652572631836,84.13376593164566,82.34057345448998,83.32865921912837,33477142
2021-05-11,86.43930053710938,86.87844913233755,81.05971768139014,82.37716905115202,48355326
2021-05-12,84.2435531616211,88.67164838729848,83.21886936896016,86.87845035412248,49718697
